gene_id,SRR3414631,SRR3414630,SRR3414636,SRR3414637,SRR3414635,SRR3414629
ENSMUSG00000000001,5757,3963,3532,4078,3466,4507
ENSMUSG00000000003,0,0,0,0,0,0
ENSMUSG00000000028,472,275,137,152,152,348
ENSMUSG00000000031,65189,33334,48392,56187,55720,64723
ENSMUSG00000000037,90,71,45,54,43,81
ENSMUSG00000000049,1,1,8,11,10,4
ENSMUSG00000000056,716,439,706,679,730,650
ENSMUSG00000000058,1196,1003,1439,1812,1465,1022
ENSMUSG00000000078,5056,3271,5430,5567,5197,4512
ENSMUSG00000000085,780,440,732,657,804,700
ENSMUSG00000000088,1116,512,595,540,615,884
ENSMUSG00000000093,94,37,115,88,123,156
ENSMUSG00000000094,564,312,374,400,485,636
ENSMUSG00000000103,0,0,0,0,0,0
ENSMUSG00000000120,682,359,14,9,13,428
ENSMUSG00000000125,1,0,0,0,0,0
ENSMUSG00000000126,194,90,169,150,164,191
ENSMUSG00000000127,804,551,681,773,714,659
ENSMUSG00000000131,2786,1464,1915,1545,1938,2602
ENSMUSG00000000134,1700,945,1145,1021,1228,1372
ENSMUSG00000000142,356,207,123,99,122,327
ENSMUSG00000000148,444,235,387,284,407,410
ENSMUSG00000000149,1223,671,1163,916,1200,1164
ENSMUSG00000000154,148,70,125,109,139,111
ENSMUSG00000000157,0,0,0,0,0,0
ENSMUSG00000000159,3,1,1,0,0,2
ENSMUSG00000000167,20,26,22,33,18,33
ENSMUSG00000000168,1972,1328,1354,1458,1399,1603
ENSMUSG00000000171,2124,1448,1518,1676,1535,1777
ENSMUSG00000000182,1,0,1,0,1,3
ENSMUSG00000000183,0,2,0,1,1,0
ENSMUSG00000000184,17112,11794,24952,24898,26426,16352
ENSMUSG00000000194,2020,1232,1953,1778,1942,1848
ENSMUSG00000000197,5,10,11,19,16,22
ENSMUSG00000000202,0,1,0,0,0,0
ENSMUSG00000000204,0,0,0,0,0,1
ENSMUSG00000000214,0,0,0,0,0,0
ENSMUSG00000000215,0,0,0,0,0,0
ENSMUSG00000000216,53,22,0,0,0,24
ENSMUSG00000000223,314,186,71,74,78,185
ENSMUSG00000000244,246,147,12,15,12,181
ENSMUSG00000000247,5,2,6,12,13,7
ENSMUSG00000000248,22,23,23,23,36,22
ENSMUSG00000000253,200,111,206,168,190,186
ENSMUSG00000000263,1,2,0,0,1,0
ENSMUSG00000000266,336,289,580,637,601,243
ENSMUSG00000000275,1624,1057,1279,1233,1299,1337
ENSMUSG00000000276,322,204,266,259,268,259
ENSMUSG00000000278,3554,2145,7189,7606,7586,3327
ENSMUSG00000000282,1473,684,885,704,944,1182
ENSMUSG00000000290,10,6,7,7,4,9
