"","logFC","logCPM","PValue","FDR"
"ENSMUSG00000035557",11.8061596634568,8.5283739564975,0,0
"ENSMUSG00000102308",11.0381156872725,5.78017831469546,0,0
"ENSMUSG00000092586",10.912518171989,7.28977336320637,0,0
"ENSMUSG00000049382",10.8205623776885,8.59094623163581,0,0
"ENSMUSG00000044294",10.7188128896846,5.96845344005822,0,0
"ENSMUSG00000047501",10.2079476635067,6.58722690948986,0,0
"ENSMUSG00000041782",9.66037991356159,5.83068193445526,0,0
"ENSMUSG00000048699",9.56543015675915,7.33669871890325,0,0
"ENSMUSG00000045545",9.10412179910911,8.07273570894965,0,0
"ENSMUSG00000020788",8.74857968638235,7.12354886520291,0,0
"ENSMUSG00000044041",8.55257187917089,5.99524655978502,0,0
"ENSMUSG00000022218",8.42146434597243,6.26978955478353,0,0
"ENSMUSG00000025608",8.27732167691745,8.17572407453556,0,0
"ENSMUSG00000061126",8.1307987708752,6.73427380485274,0,0
"ENSMUSG00000053797",7.96529774078001,7.28322620153242,0,0
"ENSMUSG00000047586",7.40275776279143,7.30524738284412,0,0
"ENSMUSG00000060716",6.74116408669791,5.81761675698495,0,0
"ENSMUSG00000000303",5.82274726647586,7.53487893602083,0,0
"ENSMUSG00000030693",5.41475574965439,6.39767417994623,0,0
"ENSMUSG00000056602",5.35056057234746,6.28418480562537,0,0
"ENSMUSG00000047281",5.23748112762993,6.1238058107336,0,0
"ENSMUSG00000034282",6.79574005733904,6.37878745808234,9.13519934085248e-315,5.59780101427397e-312
"ENSMUSG00000035852",8.64467851836321,5.65319902288627,1.44742932893731e-313,8.48382381887138e-311
"ENSMUSG00000000544",10.8852520113964,5.62772962394316,3.48426983001146e-312,1.95714339909936e-309
"ENSMUSG00000028435",6.23348373993781,6.04090429996892,3.31371337933556e-311,1.78688680267291e-308
"ENSMUSG00000058354",13.2752480842288,5.32908638855739,2.43647300528214e-310,1.26331125323879e-307
"ENSMUSG00000087166",10.2703584959036,6.64779709542671,5.79700376238433e-307,2.89442250817419e-304
"ENSMUSG00000031995",5.9843438645413,6.391350178662,2.12586189476299e-295,1.02352657868928e-292
"ENSMUSG00000054889",4.63156964359293,8.82436109926545,6.61446679944788e-285,3.07481472149506e-282
"ENSMUSG00000039269",12.66815616708,4.72651483339857,8.76603939295798e-278,3.93916590188222e-275
"ENSMUSG00000068876",7.53540975049273,5.38912129423941,1.38578622752301e-277,6.02638197846375e-275
"ENSMUSG00000037185",4.97668230310834,6.55359798314309,1.06709582797647e-276,4.49547464279713e-274
"ENSMUSG00000022871",6.6240891325925,6.18649298777997,5.0767935235307e-273,2.07394707547628e-270
"ENSMUSG00000023041",11.0018675080742,4.95596059663623,9.58360907607365e-269,3.7999009986632e-266
"ENSMUSG00000024406",4.45950313402573,7.24108160872716,4.86867090912247e-265,1.87527292931086e-262
"ENSMUSG00000037820",4.01262298125051,8.01638335847113,1.58485943245134e-260,5.93485833579905e-258
"ENSMUSG00000018166",6.78721525897181,5.52219358675297,1.60929598430587e-258,5.86349166606147e-256
"ENSMUSG00000048373",7.20000518612745,5.85149128924806,2.9117535662585e-256,1.03298289017713e-253
"ENSMUSG00000012350",7.65825714631523,6.30391060533915,7.11911096252201e-255,2.46083935604511e-252
"ENSMUSG00000009487",10.1068016284712,6.03069032331916,2.47879643562993e-254,8.35416368718177e-252
"ENSMUSG00000027401",8.03518365656872,4.60692797268939,5.0361324214274e-254,1.65590490666495e-251
"ENSMUSG00000027377",7.01229186077863,4.64415907076233,4.29800305787666e-251,1.37955664817227e-248
"ENSMUSG00000026413",5.49000486554299,6.7759057317679,5.8648289589241e-249,1.83869207430827e-246
"ENSMUSG00000020758",4.24904513976021,8.72143756840474,1.33848906082494e-248,4.10094796113206e-246
"ENSMUSG00000030838",9.84140992408259,5.46861482911216,4.41090072673079e-245,1.32140783771239e-242
"ENSMUSG00000033644",7.20632548276599,5.13267648945864,1.25114587540848e-244,3.66667337964821e-242
"ENSMUSG00000029154",8.26421027923798,5.61105624587947,7.10640234334691e-242,2.0383278721417e-239
"ENSMUSG00000026450",6.93567239933248,4.56894534063238,7.97760779100871e-242,2.24054438813726e-239
"ENSMUSG00000032807",10.7913410006969,5.53485668767395,2.18945385763903e-241,6.02367907241465e-239
"ENSMUSG00000074796",4.2612917570015,5.87895219867707,2.71494732387259e-241,7.32004097462528e-239
"ENSMUSG00000045394",9.87299456984519,5.49964516100003,1.07365737541051e-240,2.83803432900177e-238
"ENSMUSG00000027544",7.04687009791287,4.59284593928525,1.34698711494601e-237,3.49206409549753e-235
"ENSMUSG00000030093",6.48238131762874,4.60739619541006,9.22561143810416e-237,2.34661259994495e-234
"ENSMUSG00000024421",5.79994939751421,5.43748533698847,6.74421725637788e-236,1.68368134876352e-233
"ENSMUSG00000028699",12.1587364197601,4.21915379833226,5.53537438850354e-228,1.35677058420757e-225
"ENSMUSG00000028581",7.09424331629906,4.5498051341847,1.31693825578929e-225,3.17029368326703e-223
"ENSMUSG00000074199",8.73506995866402,5.12048666946384,3.62710669631867e-225,8.57842550404773e-223
"ENSMUSG00000030091",8.07214844197269,5.08525327335145,1.03975358859183e-224,2.41671002203559e-222
"ENSMUSG00000038295",5.20796161699166,5.38054742370988,1.5625081036502e-223,3.57019860089971e-221
"ENSMUSG00000029168",8.42439892028193,5.15658772301167,5.25498732143054e-222,1.18070806800342e-219
"ENSMUSG00000042793",4.1587065772145,6.04946098809322,4.6210133203834e-221,1.02124394380473e-218
"ENSMUSG00000030792",8.92936061439673,5.31429155321232,1.47091719780255e-218,3.19829592638324e-216
"ENSMUSG00000040728",12.7360668714341,4.79232689090169,2.69226388074153e-215,5.76101736131373e-213
"ENSMUSG00000029019",5.42253208100271,4.79936262315216,1.08330709607738e-210,2.28188483784675e-208
"ENSMUSG00000053030",8.12627404528261,5.5708632451479,7.93490748226213e-209,1.64569981182117e-206
"ENSMUSG00000027315",8.01480531212367,4.58856933357932,3.73550742807828e-208,7.63005691483686e-206
"ENSMUSG00000038840",8.8751050063148,4.13532217622859,4.1685128825629e-208,8.38742121937768e-206
"ENSMUSG00000016028",6.31067638943009,4.6588231283504,1.52072680983806e-206,3.01484090050395e-204
"ENSMUSG00000025432",6.43819775033856,6.36550283408903,3.19275763987769e-205,6.23790807872336e-203
"ENSMUSG00000022603",9.42754817159812,4.17966547668772,4.59092970796693e-204,8.84147477044317e-202
"ENSMUSG00000015468",5.95998283019784,4.95651631090709,2.46953344795448e-202,4.68898315660203e-200
"ENSMUSG00000026638",7.27988752443445,4.90684352877024,2.05877350739665e-201,3.8547674518353e-199
"ENSMUSG00000044393",6.94860173437014,4.40436663662931,7.64100316130504e-201,1.41107347421306e-198
"ENSMUSG00000056632",9.88440027025026,4.62727885963032,2.48146303315874e-200,4.52062204729904e-198
"ENSMUSG00000044279",8.88750551887471,4.52327325216148,5.67220899244942e-198,1.01956065902948e-195
"ENSMUSG00000118671",6.4124399948143,4.94486378976851,9.52799829786939e-198,1.69009138228391e-195
"ENSMUSG00000030494",5.7626846104542,5.13206400396944,3.64913172310533e-197,6.38882399469908e-195
"ENSMUSG00000073722",8.19499887323216,5.20256047917753,1.24689159951221e-195,2.15504431449026e-193
"ENSMUSG00000000308",6.04843404538056,4.63297905208845,1.56791253004641e-195,2.67557326804502e-193
"ENSMUSG00000019102",3.74065374001786,8.14708565379039,2.92847683778678e-195,4.93484953127545e-193
"ENSMUSG00000030739",6.99784706678724,4.25663231045616,1.9527460025437e-194,3.24999615559156e-192
"ENSMUSG00000036304",7.92657015056253,4.6610650752392,1.51749322932411e-193,2.49479588103882e-191
"ENSMUSG00000006411",7.25758634708381,4.40051759672485,1.93323476285791e-192,3.13999251061295e-190
"ENSMUSG00000044017",6.246782111017,4.87074574984398,2.22849687667555e-192,3.57647218981704e-190
"ENSMUSG00000044737",7.1342846549599,4.84702982780764,4.33039393455732e-191,6.86800478020791e-189
"ENSMUSG00000063450",3.43984203431122,7.06623686740399,7.4325862392555e-191,1.16510110571399e-188
"ENSMUSG00000056413",5.9138291452657,5.00586994404455,6.44683050365537e-190,9.98962322066414e-188
"ENSMUSG00000038599",8.66391704300129,3.92581247093588,7.58030947438362e-189,1.16125172754734e-186
"ENSMUSG00000028602",8.36684789457109,4.30230633260904,1.41797025084755e-188,2.1478266237838e-186
"ENSMUSG00000042306",8.62128995436987,5.49779245313541,3.56033280759675e-188,5.33298295324576e-186
"ENSMUSG00000027375",5.7324006473493,7.97473193161919,2.60720153094986e-187,3.86238283942144e-185
"ENSMUSG00000024479",7.34718767323512,5.62456382511033,5.81856175532103e-186,8.52609032863943e-184
"ENSMUSG00000040703",7.24847127848195,6.49346237261256,2.67335001735347e-185,3.87520769719808e-183
"ENSMUSG00000048992",12.1996939811985,4.26401931929514,7.54217120742171e-184,1.08165968135375e-181
"ENSMUSG00000042529",9.91325686319268,3.87703556239934,2.51734798492351e-181,3.57224928260566e-179
"ENSMUSG00000035498",7.47734790157764,4.36468677164327,2.52076658188818e-178,3.53983898858693e-176
"ENSMUSG00000021953",11.9588498013611,4.0237363185895,2.97603471496983e-177,4.13607463840291e-175
"ENSMUSG00000003279",6.60695216500684,4.94732313996532,3.02000089272191e-177,4.15435020763102e-175
"ENSMUSG00000051397",8.2496869524515,4.18550131145755,5.66063161954801e-177,7.70817927910371e-175
"ENSMUSG00000095975",11.5438599026183,5.49322329485303,4.05600423238852e-175,5.46789930568297e-173
"ENSMUSG00000003153",4.74436013754207,6.07094110598357,4.47598532538714e-174,5.97433249223209e-172
"ENSMUSG00000028392",6.45963961406649,4.18197961619337,1.64083336175492e-173,2.16863475978608e-171
"ENSMUSG00000067616",9.62161913363035,4.37066090621891,8.62923114842329e-173,1.12942393312519e-170
"ENSMUSG00000118672",9.78051368391309,3.74140264664168,2.72468509105899e-171,3.53187304928521e-169
