"","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000035557",11.8061596956881,8.52837711281569,2806.54450245949,0,0
"ENSMUSG00000102308",11.0381267495962,5.78019725522044,1657.36735522267,0,0
"ENSMUSG00000092586",10.9125159844789,7.28977976936189,1580.1483153495,0,0
"ENSMUSG00000049382",10.82056276457,8.5909461272906,2279.23961705163,0,0
"ENSMUSG00000044294",10.7188224100299,5.96846938347494,1870.12959512162,0,0
"ENSMUSG00000047501",10.2079453624339,6.5872464690043,1631.06960605071,0,0
"ENSMUSG00000041782",9.66037983122303,5.8306987619606,1486.70661641299,0,0
"ENSMUSG00000048699",9.56542466354125,7.33669265602215,2311.29188104932,0,0
"ENSMUSG00000045545",9.10412364690037,8.07273860038741,2829.38167370518,0,0
"ENSMUSG00000020788",8.74857901466673,7.12355938867069,1857.31470783306,0,0
"ENSMUSG00000044041",8.55257340023876,5.99525953739315,1615.5444040669,0,0
"ENSMUSG00000022218",8.4214662953287,6.26980377353643,1843.57652844598,0,0
"ENSMUSG00000025608",8.27732078630426,8.1757215210801,2085.54890694426,0,0
"ENSMUSG00000061126",8.13079876387907,6.73428196460849,1687.46867076193,0,0
"ENSMUSG00000053797",7.96530198412418,7.28323177524991,2320.21152987609,0,0
"ENSMUSG00000047586",7.40275801960337,7.30525802349887,1784.2715636292,0,0
"ENSMUSG00000060716",6.74116316718482,5.81761870724435,1514.71307757105,0,0
"ENSMUSG00000000303",5.82274712572774,7.53488015602637,1513.44581610305,0,0
"ENSMUSG00000030693",5.41475433752014,6.39768063758372,1654.34365827811,0,0
"ENSMUSG00000056602",5.35054303420799,6.28418405760353,1486.93106432869,0,0
"ENSMUSG00000047281",5.23748750775171,6.12381462153055,1530.79078352549,0,0
"ENSMUSG00000035852",8.64467997131177,5.65321821516451,1440.07642733254,4.10982453212617e-315,2.51838838716421e-312
"ENSMUSG00000034282",6.79573966364082,6.37879892731067,1437.40848189924,1.56157332458207e-314,9.15285651682064e-312
"ENSMUSG00000058354",13.2752426213484,5.32908143385499,1436.37394896133,2.62038122764735e-314,1.47188997207987e-311
"ENSMUSG00000000544",10.8852521055348,5.6277492048921,1436.2702271469,2.75996163072273e-314,1.48828170975071e-311
"ENSMUSG00000028435",6.23348563336014,6.04092182369074,1430.83096894012,4.1960989867069e-313,2.1756773246075e-310
"ENSMUSG00000087166",10.2703593489853,6.64778868701428,1402.86895934407,5.00032858705967e-307,2.49664554378339e-304
"ENSMUSG00000031995",5.98434457960993,6.39136468928246,1350.91493620092,9.74661955698042e-296,4.69264922313047e-293
"ENSMUSG00000039269",12.6681811402931,4.72654960308826,1293.10145586393,3.56759167403337e-283,1.65843804681531e-280
"ENSMUSG00000068876",7.53540342411855,5.38911747843867,1276.38973817436,1.52791360363941e-279,6.86593443022095e-277
"ENSMUSG00000037185",4.9766865857743,6.55360832333807,1269.85390239458,4.02207841202993e-278,1.7490851313734e-275
"ENSMUSG00000054889",4.63156972555302,8.82435900152596,1264.01646887309,7.46503857159157e-277,3.14488078073831e-274
"ENSMUSG00000022871",6.6240913396215,6.18650018488488,1244.03919929524,1.63868268494429e-272,6.69426705325271e-270
"ENSMUSG00000023041",11.0018826304736,4.95599946803616,1243.27130531107,2.40643861249458e-272,9.54152909854103e-270
"ENSMUSG00000024406",4.45950383379513,7.24108595028368,1213.13488397421,8.52580312684771e-266,3.28389577008669e-263
"ENSMUSG00000018166",6.78721557131932,5.52219632117482,1182.93066849627,3.12581415199258e-259,1.17053057175033e-256
"ENSMUSG00000027401",8.03515343137338,4.60693259210312,1176.81736778479,6.66151097359058e-258,2.42713052526959e-255
"ENSMUSG00000048373",7.20000427527697,5.85149676619577,1168.424610015,4.44210160964216e-256,1.57589399472595e-253
"ENSMUSG00000027377",7.01229420143026,4.64417335019724,1166.28138215416,1.29832225483923e-255,4.48786726089428e-253
"ENSMUSG00000009487",10.1067927300183,6.030710085513,1161.31979698488,1.55489549148422e-254,5.2403865301747e-252
"ENSMUSG00000012350",7.65826260296496,6.30389047533529,1161.26016410738,1.60199608579018e-254,5.26744127622863e-252
"ENSMUSG00000037820",4.01262281613485,8.01638564144801,1146.7836183104,2.24348284040187e-251,7.20104575510894e-249
"ENSMUSG00000026413",5.49000101652842,6.77591425957958,1132.60571029565,2.70590787643018e-248,8.48333583305935e-246
"ENSMUSG00000033644",7.20632314208486,5.13267621938517,1123.34518442323,2.786058698305e-246,8.5361039345113e-244
"ENSMUSG00000030838",9.84140703400367,5.46862805985781,1121.71615159311,6.29571145097396e-246,1.88605524601289e-243
"ENSMUSG00000026450",6.93570066782137,4.5689771784601,1119.21904664128,2.19668278288575e-245,6.43771317306149e-243
"ENSMUSG00000074796",4.26129926162044,5.87895609107716,1112.83113244185,5.3718760736139e-244,1.54081407124232e-241
"ENSMUSG00000020758",4.24904511252602,8.72144054636498,1107.32736039741,8.43975008151132e-243,2.37033897601779e-240
"ENSMUSG00000032807",10.7913347204192,5.53487922428342,1105.5189060784,2.086338353723e-242,5.7399851727632e-240
"ENSMUSG00000029154",8.26421067918784,5.6110537272813,1104.49632302925,3.48045816096083e-242,9.38401129358259e-240
"ENSMUSG00000045394",9.87299362335636,5.49965551679556,1101.39497159744,1.64322038656194e-241,4.34357922181205e-239
"ENSMUSG00000027544",7.04687245662544,4.59286959435455,1095.05117729216,3.93083946270269e-240,1.01907013070567e-237
