Gene stable ID,length
ENSMUSG00000064341,956
ENSMUSG00000064345,1037
ENSMUSG00000064351,1544
ENSMUSG00000064354,683
ENSMUSG00000064356,203
ENSMUSG00000064357,680
ENSMUSG00000064358,783
ENSMUSG00000064360,347
ENSMUSG00000065947,296
ENSMUSG00000064363,1377
ENSMUSG00000064367,1823
ENSMUSG00000064368,518
ENSMUSG00000064370,1143
ENSMUSG00000095041,6422
ENSMUSG00000095019,1082
ENSMUSG00000094303,1215
ENSMUSG00000094915,364
ENSMUSG00000095666,1443
ENSMUSG00000094836,1077
ENSMUSG00000094722,1443
ENSMUSG00000096776,902
ENSMUSG00000079800,1269
ENSMUSG00000095250,364
ENSMUSG00000094741,1221
ENSMUSG00000079808,1898
ENSMUSG00000095787,371
ENSMUSG00000096244,902
ENSMUSG00000074720,484
ENSMUSG00000096236,1218
ENSMUSG00000095092,364
ENSMUSG00000094383,1479
ENSMUSG00000096680,1440
ENSMUSG00000096100,371
ENSMUSG00000079192,253
ENSMUSG00000094337,2296
ENSMUSG00000096756,1443
ENSMUSG00000095505,835
ENSMUSG00000095672,364
ENSMUSG00000079794,252
ENSMUSG00000094474,1443
ENSMUSG00000079190,1466
ENSMUSG00000094799,364
ENSMUSG00000094791,835
ENSMUSG00000095570,1440
ENSMUSG00000094514,364
ENSMUSG00000096550,1443
ENSMUSG00000096728,1443
ENSMUSG00000094172,1443
ENSMUSG00000094887,2511
ENSMUSG00000091585,1496
ENSMUSG00000095763,1443
ENSMUSG00000095523,1443
ENSMUSG00000095475,1443
ENSMUSG00000094855,1443
ENSMUSG00000079222,1198
ENSMUSG00000094874,364
ENSMUSG00000095500,288
ENSMUSG00000095450,371
ENSMUSG00000094728,371
ENSMUSG00000062783,2717
ENSMUSG00000096808,1499
ENSMUSG00000095634,1906
ENSMUSG00000100032,913
ENSMUSG00000100535,912
ENSMUSG00000099782,913
ENSMUSG00000101157,913
ENSMUSG00000094575,1223
ENSMUSG00000101146,912
ENSMUSG00000100902,914
ENSMUSG00000100892,913
ENSMUSG00000096898,1905
ENSMUSG00000094739,1904
ENSMUSG00000101471,922
ENSMUSG00000095650,2155
ENSMUSG00000100240,911
ENSMUSG00000102122,912
ENSMUSG00000099856,913
ENSMUSG00000094729,1904
ENSMUSG00000100045,913
ENSMUSG00000093950,1229
ENSMUSG00000100856,908
ENSMUSG00000101766,912
ENSMUSG00000095785,1911
ENSMUSG00000093993,2301
ENSMUSG00000096666,1905
ENSMUSG00000095302,1897
ENSMUSG00000096016,2276
ENSMUSG00000103919,913
ENSMUSG00000093868,1905
ENSMUSG00000101667,571
ENSMUSG00000093918,2702
ENSMUSG00000094511,2702
ENSMUSG00000093987,3131
ENSMUSG00000095948,4397
ENSMUSG00000096520,2702
ENSMUSG00000093927,1908
ENSMUSG00000095148,2037
ENSMUSG00000096686,1902
ENSMUSG00000100939,909
ENSMUSG00000094081,5360
ENSMUSG00000100645,909
ENSMUSG00000099861,1222
ENSMUSG00000095324,1907
ENSMUSG00000101928,909
ENSMUSG00000101053,1222
ENSMUSG00000095032,2038
ENSMUSG00000095242,1901
ENSMUSG00000094838,1913
ENSMUSG00000095172,1913
ENSMUSG00000094294,1904
ENSMUSG00000093848,2078
ENSMUSG00000053211,5629
ENSMUSG00000069053,7370
ENSMUSG00000056673,33324
ENSMUSG00000069049,7595
ENSMUSG00000068457,35418
ENSMUSG00000069045,11328
ENSMUSG00000069044,8047
ENSMUSG00000000103,5644
ENSMUSG00000094881,335
ENSMUSG00000069036,1187
ENSMUSG00000095573,335
ENSMUSG00000102053,1552
ENSMUSG00000094658,3262
ENSMUSG00000095852,4611
ENSMUSG00000091987,3041
ENSMUSG00000095365,1954
ENSMUSG00000102739,1340
ENSMUSG00000094325,2675
ENSMUSG00000095267,2036
ENSMUSG00000095520,2430
ENSMUSG00000104267,1333
ENSMUSG00000103468,1341
ENSMUSG00000093903,2622
ENSMUSG00000121543,16235
ENSMUSG00000121557,13937
ENSMUSG00000121556,13940
ENSMUSG00000101155,2659
ENSMUSG00000096122,1227
ENSMUSG00000101399,913
ENSMUSG00000094052,1900
ENSMUSG00000099948,695
ENSMUSG00000100231,1958
ENSMUSG00000095508,1911
ENSMUSG00000095606,1758
ENSMUSG00000094570,912
ENSMUSG00000095867,2211
ENSMUSG00000094746,1933
ENSMUSG00000095793,1728
ENSMUSG00000096650,911
ENSMUSG00000099531,914
ENSMUSG00000094660,1904
ENSMUSG00000099840,2737
ENSMUSG00000100485,1604
ENSMUSG00000101158,1605
ENSMUSG00000101286,1947
ENSMUSG00000101933,1605
ENSMUSG00000099894,1728
ENSMUSG00000096769,915
ENSMUSG00000094616,909
ENSMUSG00000094647,1718
ENSMUSG00000094821,1706
ENSMUSG00000095979,1706
ENSMUSG00000096902,1712
ENSMUSG00000102045,924
ENSMUSG00000095153,1708
ENSMUSG00000099541,1708
ENSMUSG00000100055,1708
ENSMUSG00000100708,1708
ENSMUSG00000100726,1704
ENSMUSG00000100972,1708
ENSMUSG00000095578,1708
ENSMUSG00000095135,1708
ENSMUSG00000100667,1724
ENSMUSG00000101653,1724
ENSMUSG00000093895,1708
ENSMUSG00000103371,1708
ENSMUSG00000104191,1708
ENSMUSG00000100608,1728
ENSMUSG00000101915,1710
ENSMUSG00000094789,1709
ENSMUSG00000100467,1724
ENSMUSG00000100338,1634
ENSMUSG00000094181,1728
ENSMUSG00000094782,1726
ENSMUSG00000095011,1724
ENSMUSG00000095141,1720
ENSMUSG00000096178,1750
ENSMUSG00000096626,1724
ENSMUSG00000099740,1708
ENSMUSG00000099792,1708
ENSMUSG00000099925,1708
ENSMUSG00000101528,1604
ENSMUSG00000103528,1706
ENSMUSG00000102668,1708
ENSMUSG00000094813,1338
ENSMUSG00000101396,918
ENSMUSG00000095950,1335
ENSMUSG00000101243,910
ENSMUSG00000079806,1355
ENSMUSG00000100634,1224
ENSMUSG00000096036,1479
ENSMUSG00000096706,1477
ENSMUSG00000096268,1909
ENSMUSG00000094773,1905
ENSMUSG00000096223,1535
ENSMUSG00000094556,1151
ENSMUSG00000094484,3113
ENSMUSG00000091077,1223
ENSMUSG00000094679,1223
ENSMUSG00000096820,1342
ENSMUSG00000095900,1338
ENSMUSG00000095452,2039
ENSMUSG00000095263,916
ENSMUSG00000094399,914
ENSMUSG00000047161,3544
ENSMUSG00000024304,11946
ENSMUSG00000048799,12032
ENSMUSG00000073563,6820
ENSMUSG00000059898,9092
ENSMUSG00000052713,17895
ENSMUSG00000001700,12851
ENSMUSG00000024331,15286
ENSMUSG00000044322,11344
ENSMUSG00000034774,4073
ENSMUSG00000069441,5671
ENSMUSG00000061928,3950
ENSMUSG00000053644,12180
ENSMUSG00000001804,3462
ENSMUSG00000008301,4066
ENSMUSG00000032900,2361
ENSMUSG00000024590,3487
ENSMUSG00000032656,7255
ENSMUSG00000056632,9659
ENSMUSG00000024592,3924
ENSMUSG00000044393,10279
ENSMUSG00000020607,4531
ENSMUSG00000061808,1182
ENSMUSG00000056124,5799
ENSMUSG00000020601,6579
ENSMUSG00000024593,10871
ENSMUSG00000071235,10691
ENSMUSG00000033382,16023
ENSMUSG00000071234,5187
ENSMUSG00000035142,6084
ENSMUSG00000033107,2742
ENSMUSG00000021242,6561
ENSMUSG00000024317,18963
ENSMUSG00000021241,6799
ENSMUSG00000035133,18499
ENSMUSG00000024313,3318
ENSMUSG00000042680,9844
ENSMUSG00000061603,19385
ENSMUSG00000024598,15843
ENSMUSG00000021010,12443
ENSMUSG00000035105,2657
ENSMUSG00000002020,25803
ENSMUSG00000033863,5600
ENSMUSG00000042514,8424
ENSMUSG00000052075,3068
ENSMUSG00000025075,9886
ENSMUSG00000024600,2475
ENSMUSG00000033063,7017
ENSMUSG00000047094,6557
ENSMUSG00000024601,4427
ENSMUSG00000053441,18107
ENSMUSG00000041817,10534
ENSMUSG00000024943,13778
ENSMUSG00000024306,10385
ENSMUSG00000057762,1029
ENSMUSG00000060739,5765
ENSMUSG00000017843,15763
ENSMUSG00000021359,18384
ENSMUSG00000050875,11434
ENSMUSG00000058152,12054
ENSMUSG00000033207,6452
ENSMUSG00000073555,2642
ENSMUSG00000021360,14339
ENSMUSG00000068606,2837
ENSMUSG00000090942,3295
ENSMUSG00000054072,11492
ENSMUSG00000038059,7009
ENSMUSG00000033053,869
ENSMUSG00000024603,16020
ENSMUSG00000042350,14126
ENSMUSG00000074925,17911
ENSMUSG00000041138,9533
ENSMUSG00000024897,9769
ENSMUSG00000071604,3585
ENSMUSG00000041923,18418
ENSMUSG00000024812,20557
ENSMUSG00000038683,8067
ENSMUSG00000018707,18478
ENSMUSG00000024604,7246
ENSMUSG00000091039,533
ENSMUSG00000058368,650
ENSMUSG00000062433,785
ENSMUSG00000047462,2762
ENSMUSG00000065968,3223
ENSMUSG00000063905,170
ENSMUSG00000021361,908
ENSMUSG00000059632,573
ENSMUSG00000056706,620
ENSMUSG00000091212,1007
ENSMUSG00000044117,3826
ENSMUSG00000053101,6933
ENSMUSG00000024302,25608
ENSMUSG00000056508,1329
ENSMUSG00000022827,8956
ENSMUSG00000059363,3574
ENSMUSG00000021243,2078
ENSMUSG00000041112,16496
ENSMUSG00000024867,7197
ENSMUSG00000022821,5663
ENSMUSG00000021270,9449
ENSMUSG00000022820,2363
ENSMUSG00000060657,12713
ENSMUSG00000074922,854
ENSMUSG00000048572,5032
ENSMUSG00000041731,5750
ENSMUSG00000021322,7000
ENSMUSG00000058927,945
ENSMUSG00000051490,1961
ENSMUSG00000022816,6551
ENSMUSG00000020593,37467
ENSMUSG00000049134,28175
ENSMUSG00000108763,2259
ENSMUSG00000042869,13665
ENSMUSG00000024277,19295
ENSMUSG00000034158,8600
ENSMUSG00000046961,4574
ENSMUSG00000021363,23938
ENSMUSG00000022812,13570
ENSMUSG00000024276,10026
ENSMUSG00000022678,10960
ENSMUSG00000063281,3037
ENSMUSG00000051469,7972
ENSMUSG00000047989,6352
ENSMUSG00000000420,15818
ENSMUSG00000021666,28392
ENSMUSG00000002489,37862
ENSMUSG00000024273,4028
ENSMUSG00000040446,9192
ENSMUSG00000024619,1747
ENSMUSG00000037957,8452
ENSMUSG00000024620,10783
ENSMUSG00000020591,7100
ENSMUSG00000021244,27144
ENSMUSG00000024878,4514
ENSMUSG00000022982,4603
ENSMUSG00000025076,7417
ENSMUSG00000024621,12200
ENSMUSG00000022983,15936
ENSMUSG00000052085,11960
ENSMUSG00000056458,6176
ENSMUSG00000042320,8056
ENSMUSG00000024622,28866
ENSMUSG00000021665,2612
ENSMUSG00000032702,10606
ENSMUSG00000021271,6593
ENSMUSG00000056380,4166
ENSMUSG00000041773,4734
ENSMUSG00000053414,11881
ENSMUSG00000112449,5376
ENSMUSG00000024837,4819
ENSMUSG00000055341,7099
ENSMUSG00000033965,5348
ENSMUSG00000034320,15875
ENSMUSG00000057842,13579
ENSMUSG00000042372,2735
ENSMUSG00000048138,2333
ENSMUSG00000022978,4489
